"Time [s]","Position [m]"
0.023905723905723875, 0.6502624282036051
0.18242424242424238, 0.6322489601901371
0.3409427609427609, 0.6078777975836804
0.4994612794612794, 0.5813874034462274
0.6579797979797979, 0.5506585462467819
0.8164983164983164, 0.5167508417508422
0.9750168350168351, 0.4817835214894042
1.1335353535353534, 0.4425777381659739
1.2920538720538721, 0.40443157060804147
1.4505723905723908, 0.3604575163398698
1.6090909090909091, 0.3159536541889487
1.7676094276094279, 0.2709199841552785
1.9261279461279461, 0.2211180431768669
2.0846464646464646, 0.1713161021984555
2.2431649831649834, 0.12045454545454581
2.401683501683502, 0.06800356506238892
2.560202020202021, 0.015552584670232017
2.7187205387205386, -0.03954743513566994
2.8772390572390574, -0.09517726282432126
3.035757575757576, -0.15027728263022344
3.194276094276094, -0.20590711031887476
3.3527946127946127, -0.2620667458902748
3.5113131313131314, -0.31928599722717355
3.66983164983165, -0.37491582491582465
3.828350168350169, -0.43213507625272296
3.9868686868686867, -0.48988413547237064
4.145387205387205, -0.5486928104575162
4.303905723905724, -0.6075014854426617
4.462424242424243, -0.6673697761933055
4.620942760942761, -0.7272380669439489
4.779461279461279, -0.7876361655773421
4.937979797979798, -0.8480342642107348
5.096498316498317, -0.9105515943751237
5.255016835016836, -0.9741285403050108
5.413535353535353, -1.038235294117647
5.572053872053872, -1.1039314715785302
5.730572390572391, -1.1706872648049118
5.88909090909091, -1.237443058031293
6.047609427609428, -1.3036690433749256
6.206127946127946, -1.3693652208358094
6.364646464646465, -1.4345315904139433
6.523164983164984, -1.4986383442265794
6.667272727272728, -1.5433188090050831
